,ID,Nachname,Vorname,Adelstitel,Anrede_Titel,Geburtsdatum,Geburtsort,Sterbedatum,Geschlecht,Religion,Beruf,Partei,Profession,is_stem,WP,Von,Bis,Wahlkreis,Bundesland,Liste,Mandatsart
10,11000002,Achenbach,Ernst,,Dr.,09.04.1909,Siegen,02.12.1991,männlich,evangelisch,Rechtsanwalt und Notar,FDP,Lawyer and Notary,No,6,20.10.1969,22.09.1972,,,NRW,Landesliste
11,11000002,Achenbach,Ernst,,Dr.,09.04.1909,Siegen,02.12.1991,männlich,evangelisch,Rechtsanwalt und Notar,FDP,Lawyer and Notary,No,7,13.12.1972,13.12.1976,,,NRW,Landesliste
12,11000003,Ackermann,Annemarie,,,26.05.1913,Parabutsch,18.02.1994,weiblich,katholisch,Hilfsreferentin,CDU,Assistant Consultant (female),No,2,06.10.1953,06.10.1957,,,RPF,Landesliste
13,11000003,Ackermann,Annemarie,,,26.05.1913,Parabutsch,18.02.1994,weiblich,katholisch,Hilfsreferentin,CDU,Assistant Consultant (female),No,3,15.10.1957,15.10.1961,,,RPF,Landesliste
14,11000003,Ackermann,Annemarie,,,26.05.1913,Parabutsch,18.02.1994,weiblich,katholisch,Hilfsreferentin,CDU,Assistant Consultant (female),No,4,16.01.1965,17.10.1965,,,RPF,Landesliste
15,11000004,Ackermann,Else,,Dr.,06.11.1933,Berlin,14.09.2019,weiblich,evangelisch,Ärztin,CDU,Doctor (female),No,11,03.10.1990,20.12.1990,,,***,Volkskammer
16,11000004,Ackermann,Else,,Dr.,06.11.1933,Berlin,14.09.2019,weiblich,evangelisch,Ärztin,CDU,Doctor (female),No,12,22.10.1991,10.11.1994,,,BRA,Landesliste
17,11000005,Adam,Ulrich,,,09.06.1950,Teterow,,männlich,evangelisch,"Mathematiker, Geschäftsführer",CDU,"Mathematician, Managing Director",Yes,12,20.12.1990,10.11.1994,,MBV,,Direktwahl
18,11000005,Adam,Ulrich,,,09.06.1950,Teterow,,männlich,evangelisch,"Mathematiker, Geschäftsführer",CDU,"Mathematician, Managing Director",Yes,13,10.11.1994,26.10.1998,Greifswald-Wolgast-Demmin,MBV,MBV,Direktwahl
19,11000005,Adam,Ulrich,,,09.06.1950,Teterow,,männlich,evangelisch,"Mathematiker, Geschäftsführer",CDU,"Mathematician, Managing Director",Yes,14,26.10.1998,17.10.2002,Greifswald-Wolgast-Demmin,MBV,,Direktwahl
20,11000005,Adam,Ulrich,,,09.06.1950,Teterow,,männlich,evangelisch,"Mathematiker, Geschäftsführer",CDU,"Mathematician, Managing Director",Yes,15,17.10.2002,18.10.2005,Greifswald - Demmin - Ostvorpommern,MBV,,Direktwahl
21,11000005,Adam,Ulrich,,,09.06.1950,Teterow,,männlich,evangelisch,"Mathematiker, Geschäftsführer",CDU,"Mathematician, Managing Director",Yes,16,18.10.2005,27.10.2009,Greifswald - Demmin - Ostvorpommern,MBV,,Direktwahl
22,11000007,Adams,Rudolf,,,10.11.1919,Masburg / Kreis Cochem,25.05.2013,männlich,evangelisch,Gewerkschaftssekretär,SPD,Union Secretary,No,5,08.12.1966,19.10.1969,,,NRW,Landesliste
23,11000007,Adams,Rudolf,,,10.11.1919,Masburg / Kreis Cochem,25.05.2013,männlich,evangelisch,Gewerkschaftssekretär,SPD,Union Secretary,No,6,20.10.1969,22.09.1972,,NRW,,Direktwahl
24,11000007,Adams,Rudolf,,,10.11.1919,Masburg / Kreis Cochem,25.05.2013,männlich,evangelisch,Gewerkschaftssekretär,SPD,Union Secretary,No,7,13.12.1972,13.12.1976,,NRW,,Direktwahl
25,11000007,Adams,Rudolf,,,10.11.1919,Masburg / Kreis Cochem,25.05.2013,männlich,evangelisch,Gewerkschaftssekretär,SPD,Union Secretary,No,8,14.12.1976,04.11.1980,,NRW,,Direktwahl
26,11000008,Adelmann,Raban,Graf,,28.09.1912,Düsseldorf,25.01.1992,männlich,katholisch,"Landwirt, Weingutbesitzer",CDU,"Farmer, Vineyard Owner",No,3,15.10.1957,15.10.1961,,BWG,,Direktwahl
27,11000009,Adenauer,Konrad,,Dr.,05.01.1876,Köln,19.04.1967,männlich,katholisch,Bundeskanzler a. D.,CDU,Former Federal Chancellor,No,1,07.09.1949,07.09.1953,,NRW,,Direktwahl
28,11000009,Adenauer,Konrad,,Dr.,05.01.1876,Köln,19.04.1967,männlich,katholisch,Bundeskanzler a. D.,CDU,Former Federal Chancellor,No,2,06.10.1953,06.10.1957,,NRW,,Direktwahl
29,11000009,Adenauer,Konrad,,Dr.,05.01.1876,Köln,19.04.1967,männlich,katholisch,Bundeskanzler a. D.,CDU,Former Federal Chancellor,No,3,15.10.1957,15.10.1961,,NRW,,Direktwahl
30,11000009,Adenauer,Konrad,,Dr.,05.01.1876,Köln,19.04.1967,männlich,katholisch,Bundeskanzler a. D.,CDU,Former Federal Chancellor,No,4,17.10.1961,17.10.1965,,NRW,,Direktwahl
31,11000009,Adenauer,Konrad,,Dr.,05.01.1876,Köln,19.04.1967,männlich,katholisch,Bundeskanzler a. D.,CDU,Former Federal Chancellor,No,5,19.10.1965,19.04.1967,,NRW,,Direktwahl
32,11000010,Adler,Brigitte,,,22.06.1944,Drangstedt / Krs. Wesermünde,25.10.2004,weiblich,evangelisch,Reallehrerin,SPD,Secondary School Teacher (female),No,11,18.02.1987,20.12.1990,,,BWG,Landesliste
33,11000010,Adler,Brigitte,,,22.06.1944,Drangstedt / Krs. Wesermünde,25.10.2004,weiblich,evangelisch,Reallehrerin,SPD,Secondary School Teacher (female),No,12,20.12.1990,10.11.1994,,,BWG,Landesliste
34,11000010,Adler,Brigitte,,,22.06.1944,Drangstedt / Krs. Wesermünde,25.10.2004,weiblich,evangelisch,Reallehrerin,SPD,Secondary School Teacher (female),No,13,10.11.1994,26.10.1998,Odenwald - Tauber,BWG,BWG,Landesliste
35,11000010,Adler,Brigitte,,,22.06.1944,Drangstedt / Krs. Wesermünde,25.10.2004,weiblich,evangelisch,Reallehrerin,SPD,Secondary School Teacher (female),No,14,26.10.1998,17.10.2002,Odenwald - Tauber,BWG,BWG,Landesliste
36,11000011,Adorno,Eduard,,,31.10.1920,München,28.12.2000,männlich,katholisch,"Dipl.-Landwirt, Landesminister a. D.",CDU,"Graduate Farmer, Former State Minister",No,4,17.10.1961,17.10.1965,,BWG,,Direktwahl
37,11000011,Adorno,Eduard,,,31.10.1920,München,28.12.2000,männlich,katholisch,"Dipl.-Landwirt, Landesminister a. D.",CDU,"Graduate Farmer, Former State Minister",No,5,19.10.1965,19.10.1969,,BWG,,Direktwahl
38,11000011,Adorno,Eduard,,,31.10.1920,München,28.12.2000,männlich,katholisch,"Dipl.-Landwirt, Landesminister a. D.",CDU,"Graduate Farmer, Former State Minister",No,6,20.10.1969,21.08.1972,,BWG,,Direktwahl
39,11000012,Aerssen,Jochen,,Dr.,15.04.1941,Kevelaer,09.01.1992,männlich,katholisch,"Rechtsanwalt, Diplom-Volkswirt",CDU,"Lawyer, Graduate Economist",No,8,14.12.1976,04.11.1980,,NRW,,Direktwahl
40,11000012,Aerssen,Jochen,,Dr.,15.04.1941,Kevelaer,09.01.1992,männlich,katholisch,"Rechtsanwalt, Diplom-Volkswirt",CDU,"Lawyer, Graduate Economist",No,9,04.11.1980,29.03.1983,,NRW,,Direktwahl
41,11000013,Agatz,Willi,,,10.06.1904,Essen,29.08.1957,männlich,ohne Angaben,"Bergmann, Gewerkschaftsfunktionär",KPD,"Miner, Trade Union Official",No,1,07.09.1949,07.09.1953,,,NRW,Landesliste
42,11000014,Ahlers,Conrad,,,08.11.1922,Hamburg,19.12.1980,männlich,evangelisch,Journalist,SPD,Journalist,No,7,13.12.1972,13.12.1976,,RPF,,Direktwahl
43,11000014,Ahlers,Conrad,,,08.11.1922,Hamburg,19.12.1980,männlich,evangelisch,Journalist,SPD,Journalist,No,8,14.12.1976,07.03.1980,,RPF,,Direktwahl
44,11000015,Ahrens,Adolf,,,17.09.1879,Bremerhaven,21.01.1957,männlich,evangelisch,Kapitän a. D.,DP,Former Captain,No,1,07.09.1949,07.09.1953,,,BRE,Landesliste
45,11000016,Ahrens,Hermann,,,08.04.1902,Jerstedt,14.07.1975,männlich,ohne Angaben,Verwaltungsbeamter,SPD,Administrative Official,No,5,19.10.1965,19.10.1969,,,NDS,Landesliste
46,11000017,Ahrens,Karl,,Dr.,13.03.1924,Hilter / Teutoburger Wald,06.03.2015,männlich,ohne Angaben,Ministerialdirigent a. D.,SPD,Former Ministerial Director,No,6,20.10.1969,22.09.1972,,NDS,,Direktwahl
47,11000017,Ahrens,Karl,,Dr.,13.03.1924,Hilter / Teutoburger Wald,06.03.2015,männlich,ohne Angaben,Ministerialdirigent a. D.,SPD,Former Ministerial Director,No,7,13.12.1972,13.12.1976,,NDS,,Direktwahl
48,11000017,Ahrens,Karl,,Dr.,13.03.1924,Hilter / Teutoburger Wald,06.03.2015,männlich,ohne Angaben,Ministerialdirigent a. D.,SPD,Former Ministerial Director,No,8,14.12.1976,04.11.1980,,NDS,,Direktwahl
49,11000017,Ahrens,Karl,,Dr.,13.03.1924,Hilter / Teutoburger Wald,06.03.2015,männlich,ohne Angaben,Ministerialdirigent a. D.,SPD,Former Ministerial Director,No,9,04.11.1980,29.03.1983,,,NDS,Landesliste
50,11000017,Ahrens,Karl,,Dr.,13.03.1924,Hilter / Teutoburger Wald,06.03.2015,männlich,ohne Angaben,Ministerialdirigent a. D.,SPD,Former Ministerial Director,No,10,29.03.1983,18.02.1987,,,NDS,Landesliste
51,11000017,Ahrens,Karl,,Dr.,13.03.1924,Hilter / Teutoburger Wald,06.03.2015,männlich,ohne Angaben,Ministerialdirigent a. D.,SPD,Former Ministerial Director,No,11,18.02.1987,20.12.1990,,,NDS,Landesliste
52,11000018,Aigner,Heinrich,,Dr.,25.05.1924,Ebrach,24.03.1988,männlich,römisch-katholisch,Regierungsrat a. D.,CSU,Former Government Councillor,No,3,15.10.1957,15.10.1961,,BAY,,Direktwahl
53,11000018,Aigner,Heinrich,,Dr.,25.05.1924,Ebrach,24.03.1988,männlich,römisch-katholisch,Regierungsrat a. D.,CSU,Former Government Councillor,No,4,17.10.1961,17.10.1965,,BAY,,Direktwahl
54,11000018,Aigner,Heinrich,,Dr.,25.05.1924,Ebrach,24.03.1988,männlich,römisch-katholisch,Regierungsrat a. D.,CSU,Former Government Councillor,No,5,19.10.1965,19.10.1969,,BAY,,Direktwahl
55,11000018,Aigner,Heinrich,,Dr.,25.05.1924,Ebrach,24.03.1988,männlich,römisch-katholisch,Regierungsrat a. D.,CSU,Former Government Councillor,No,6,20.10.1969,22.09.1972,,BAY,,Direktwahl
56,11000018,Aigner,Heinrich,,Dr.,25.05.1924,Ebrach,24.03.1988,männlich,römisch-katholisch,Regierungsrat a. D.,CSU,Former Government Councillor,No,7,13.12.1972,13.12.1976,,BAY,,Direktwahl
57,11000018,Aigner,Heinrich,,Dr.,25.05.1924,Ebrach,24.03.1988,männlich,römisch-katholisch,Regierungsrat a. D.,CSU,Former Government Councillor,No,8,14.12.1976,04.11.1980,,BAY,,Direktwahl
58,11000019,Alber,Siegbert,,,27.07.1936,Hechingen / Hohenzollern,04.06.2021,männlich,katholisch,Regierungsrat a. D.,CDU,Former Government Councillor,No,6,20.10.1969,22.09.1972,,,BWG,Landesliste
59,11000019,Alber,Siegbert,,,27.07.1936,Hechingen / Hohenzollern,04.06.2021,männlich,katholisch,Regierungsrat a. D.,CDU,Former Government Councillor,No,7,13.12.1972,13.12.1976,,,BWG,Landesliste
60,11000019,Alber,Siegbert,,,27.07.1936,Hechingen / Hohenzollern,04.06.2021,männlich,katholisch,Regierungsrat a. D.,CDU,Former Government Councillor,No,8,14.12.1976,04.11.1980,,BWG,,Direktwahl
61,11000020,Albers,Johannes,,,08.03.1890,Mönchengladbach,08.03.1963,männlich,katholisch,Geschäftsführer,CDU,Managing Director,No,1,07.09.1949,07.09.1953,,NRW,,Direktwahl
62,11000020,Albers,Johannes,,,08.03.1890,Mönchengladbach,08.03.1963,männlich,katholisch,Geschäftsführer,CDU,Managing Director,No,2,06.10.1953,06.10.1957,,NRW,,Direktwahl
63,11000021,Albertz,Luise,,,22.06.1901,Duisburg,01.02.1979,weiblich,ohne Angaben,Buchhalterin,SPD,Accountant (female),No,1,07.09.1949,07.09.1953,,,NRW,Landesliste
64,11000021,Albertz,Luise,,,22.06.1901,Duisburg,01.02.1979,weiblich,ohne Angaben,Buchhalterin,SPD,Accountant (female),No,2,06.10.1953,06.10.1957,,,NRW,Landesliste
65,11000021,Albertz,Luise,,,22.06.1901,Duisburg,01.02.1979,weiblich,ohne Angaben,Buchhalterin,SPD,Accountant (female),No,3,15.10.1957,15.10.1961,,,NRW,Landesliste
66,11000021,Albertz,Luise,,,22.06.1901,Duisburg,01.02.1979,weiblich,ohne Angaben,Buchhalterin,SPD,Accountant (female),No,4,17.10.1961,17.10.1965,,,NRW,Landesliste
67,11000021,Albertz,Luise,,,22.06.1901,Duisburg,01.02.1979,weiblich,ohne Angaben,Buchhalterin,SPD,Accountant (female),No,5,19.10.1965,19.10.1969,,NRW,,Direktwahl
68,11000022,Albowitz,Ina,,,26.04.1943,Weimar / Thüringen,,weiblich,evangelisch,"Werbekauffrau, Hausfrau",FDP,"Advertising Clerk, Housewife (female)",No,12,20.12.1990,10.11.1994,,,NRW,Landesliste
69,11000022,Albowitz,Ina,,,26.04.1943,Weimar / Thüringen,,weiblich,evangelisch,"Werbekauffrau, Hausfrau",FDP,"Advertising Clerk, Housewife (female)",No,13,10.11.1994,26.10.1998,Oberbergischer Kreis,NRW,NRW,Landesliste
70,11000022,Albowitz,Ina,,,26.04.1943,Weimar / Thüringen,,weiblich,evangelisch,"Werbekauffrau, Hausfrau",FDP,"Advertising Clerk, Housewife (female)",No,14,06.06.2000,17.10.2002,,,NRW,Landesliste
71,11000023,Albrecht,Ernst,,,28.07.1914,Greifswald,01.12.1991,männlich,evangelisch,Kaufmann,CDU,Merchant,No,2,11.05.1956,06.10.1957,,,HBG,Landesliste
72,11000024,Albrecht,Lisa,,,27.05.1896,Hamburg,16.05.1958,weiblich,ohne Angaben,Sportlehrerin,SPD,Sports Teacher (female),No,1,07.09.1949,07.09.1953,,,BAY,Landesliste
73,11000024,Albrecht,Lisa,,,27.05.1896,Hamburg,16.05.1958,weiblich,ohne Angaben,Sportlehrerin,SPD,Sports Teacher (female),No,2,06.10.1953,06.10.1957,,,BAY,Landesliste
74,11000024,Albrecht,Lisa,,,27.05.1896,Hamburg,16.05.1958,weiblich,ohne Angaben,Sportlehrerin,SPD,Sports Teacher (female),No,3,15.10.1957,16.05.1958,,,BAY,Landesliste
75,11000025,Albrecht,Michael,,,25.11.1947,Riesa / Sachsen,,männlich,evangelisch-lutherisch,Schulamtsleiter,CDU,Head of School Administration,No,11,03.10.1990,20.12.1990,,,***,Volkskammer
76,11000026,Alltschekow,Peter,,,28.03.1949,Rollshausen / Krs. Duderstadt,,männlich,ohne Angaben,Ministerialrat,SPD,Ministerial Councillor,No,12,03.08.1994,10.11.1994,,,BWG,Landesliste
77,11000027,Alten-Nordheim,Odal,,,21.05.1922,Holzminden,28.07.2004,männlich,evangelisch,Land- und Forstwirt,CDU,Farmer and Forester,No,6,20.10.1969,22.09.1972,,,NDS,Landesliste
78,11000027,Alten-Nordheim,Odal,,,21.05.1922,Holzminden,28.07.2004,männlich,evangelisch,Land- und Forstwirt,CDU,Farmer and Forester,No,7,13.12.1972,13.12.1976,,,NDS,Landesliste
79,11000028,Althammer,Walter,,Dr.,12.03.1928,Augsburg,,männlich,katholisch,Rechtsanwalt,CSU,Lawyer,No,4,17.10.1961,17.10.1965,,BAY,,Direktwahl
80,11000028,Althammer,Walter,,Dr.,12.03.1928,Augsburg,,männlich,katholisch,Rechtsanwalt,CSU,Lawyer,No,5,19.10.1965,19.10.1969,,BAY,,Direktwahl
81,11000028,Althammer,Walter,,Dr.,12.03.1928,Augsburg,,männlich,katholisch,Rechtsanwalt,CSU,Lawyer,No,6,20.10.1969,22.09.1972,,BAY,,Direktwahl
82,11000028,Althammer,Walter,,Dr.,12.03.1928,Augsburg,,männlich,katholisch,Rechtsanwalt,CSU,Lawyer,No,7,13.12.1972,13.12.1976,,BAY,,Direktwahl
83,11000028,Althammer,Walter,,Dr.,12.03.1928,Augsburg,,männlich,katholisch,Rechtsanwalt,CSU,Lawyer,No,8,14.12.1976,04.11.1980,,BAY,,Direktwahl
84,11000028,Althammer,Walter,,Dr.,12.03.1928,Augsburg,,männlich,katholisch,Rechtsanwalt,CSU,Lawyer,No,9,04.11.1980,29.03.1983,,BAY,,Direktwahl
85,11000028,Althammer,Walter,,Dr.,12.03.1928,Augsburg,,männlich,katholisch,Rechtsanwalt,CSU,Lawyer,No,10,29.03.1983,14.04.1985,,BAY,,Direktwahl
86,11000029,Altherr,Walter,,Dr.,11.07.1946,Kaiserslautern,,männlich,römisch-katholisch,Chirurg,CDU,Surgeon,No,12,20.12.1990,10.11.1994,,,RPF,Landesliste
87,11000030,Altmaier,Jakob,,,23.11.1889,Flörsheim,08.02.1963,männlich,ohne Angaben,"Journalist, Schriftsteller",SPD,"Journalist, Writer",No,1,07.09.1949,07.09.1953,,HES,,Direktwahl
88,11000030,Altmaier,Jakob,,,23.11.1889,Flörsheim,08.02.1963,männlich,ohne Angaben,"Journalist, Schriftsteller",SPD,"Journalist, Writer",No,2,06.10.1953,06.10.1957,,HES,,Direktwahl
89,11000030,Altmaier,Jakob,,,23.11.1889,Flörsheim,08.02.1963,männlich,ohne Angaben,"Journalist, Schriftsteller",SPD,"Journalist, Writer",No,3,15.10.1957,15.10.1961,,HES,,Direktwahl
90,11000030,Altmaier,Jakob,,,23.11.1889,Flörsheim,08.02.1963,männlich,ohne Angaben,"Journalist, Schriftsteller",SPD,"Journalist, Writer",No,4,17.10.1961,08.02.1963,,HES,,Direktwahl
91,11000031,Altvater,Wilhelm,,,12.08.1920,Todtenhausen,04.02.2001,männlich,ohne Angaben,Schiffbauer,SPD,Shipbuilder,Yes,3,22.09.1960,15.10.1961,,,NRW,Landesliste
92,11000032,Amelunxen,Rudolf,,Dr.,30.06.1888,Köln,21.04.1969,männlich,ohne Angaben,"Jurist (Richter), Verwaltungsbeamter",DZP,"Jurist (Judge), Administrative Official",No,1,07.09.1949,07.10.1949,,,NRW,Landesliste
93,11000033,Amende,Andreas,,,12.02.1955,Leipzig,,männlich,ohne Angaben,Lokomotivführer,SPD,Train Driver,No,11,03.10.1990,20.12.1990,,,***,Volkskammer
94,11000034,Amling,Max,,,28.04.1934,Eibelstadt / Unterfranken,07.04.2017,männlich,katholisch,Installateur,SPD,Plumber,Yes,7,13.12.1972,13.12.1976,,BAY,,Direktwahl
95,11000034,Amling,Max,,,28.04.1934,Eibelstadt / Unterfranken,07.04.2017,männlich,katholisch,Installateur,SPD,Plumber,Yes,8,14.12.1976,04.11.1980,,,BAY,Landesliste
96,11000034,Amling,Max,,,28.04.1934,Eibelstadt / Unterfranken,07.04.2017,männlich,katholisch,Installateur,SPD,Plumber,Yes,9,04.11.1980,29.03.1983,,,BAY,Landesliste
97,11000034,Amling,Max,,,28.04.1934,Eibelstadt / Unterfranken,07.04.2017,männlich,katholisch,Installateur,SPD,Plumber,Yes,10,29.03.1983,18.02.1987,,,BAY,Landesliste
98,11000034,Amling,Max,,,28.04.1934,Eibelstadt / Unterfranken,07.04.2017,männlich,katholisch,Installateur,SPD,Plumber,Yes,11,18.02.1987,20.12.1990,,,BAY,Landesliste
99,11000035,Amrehn,Franz,,,23.11.1912,Berlin,04.10.1981,männlich,katholisch,Rechtsanwalt und Notar,CDU,Lawyer and Notary,No,6,20.10.1969,22.09.1972,,,BLW,Landesliste
100,11000035,Amrehn,Franz,,,23.11.1912,Berlin,04.10.1981,männlich,katholisch,Rechtsanwalt und Notar,CDU,Lawyer and Notary,No,7,13.12.1972,13.12.1976,,,BLW,Landesliste
101,11000035,Amrehn,Franz,,,23.11.1912,Berlin,04.10.1981,männlich,katholisch,Rechtsanwalt und Notar,CDU,Lawyer and Notary,No,8,14.12.1976,04.11.1980,,,BLW,Landesliste
102,11000035,Amrehn,Franz,,,23.11.1912,Berlin,04.10.1981,männlich,katholisch,Rechtsanwalt und Notar,CDU,Lawyer and Notary,No,9,04.11.1980,04.10.1981,,,BLW,Landesliste
103,11000036,Anbuhl,Jürgen,,,05.05.1940,Berlin,30.01.2022,männlich,evangelisch,Studienrat,SPD,Teacher (secondary school),No,6,03.11.1970,22.09.1972,,,SWH,Landesliste
104,11000036,Anbuhl,Jürgen,,,05.05.1940,Berlin,30.01.2022,männlich,evangelisch,Studienrat,SPD,Teacher (secondary school),No,7,13.12.1972,13.12.1976,,SWH,,Direktwahl
105,11000037,Anders,Artur,,,21.01.1896,Breslau,13.07.1976,männlich,katholisch,Stadtdirektor a. D.,SPD,Former City Director,No,4,17.04.1963,17.10.1965,,,NRW,Landesliste
106,11000038,Andres,Gerd,,Dr. h. c.,08.04.1951,Wirges / Westerwald,,männlich,ohne Angaben,"Maschinenschlosser, Gewerkschaftssekretär, Parl. Staatssekretär a. D.",SPD,"Machine Fitter, Trade Union Secretary, Former Parliamentary State Secretary",Yes,16,18.10.2005,27.10.2009,Stadt Hannover I,NDS,,Direktwahl
107,11000038,Andres,Gerd,,Dr. h. c.,08.04.1951,Wirges / Westerwald,,männlich,ohne Angaben,"Maschinenschlosser, Gewerkschaftssekretär, Parl. Staatssekretär a. D.",SPD,"Machine Fitter, Trade Union Secretary, Former Parliamentary State Secretary",Yes,11,18.02.1987,20.12.1990,,NDS,,Direktwahl
108,11000038,Andres,Gerd,,Dr. h. c.,08.04.1951,Wirges / Westerwald,,männlich,ohne Angaben,"Maschinenschlosser, Gewerkschaftssekretär, Parl. Staatssekretär a. D.",SPD,"Machine Fitter, Trade Union Secretary, Former Parliamentary State Secretary",Yes,12,20.12.1990,10.11.1994,,NDS,,Direktwahl
109,11000038,Andres,Gerd,,Dr. h. c.,08.04.1951,Wirges / Westerwald,,männlich,ohne Angaben,"Maschinenschlosser, Gewerkschaftssekretär, Parl. Staatssekretär a. D.",SPD,"Machine Fitter, Trade Union Secretary, Former Parliamentary State Secretary",Yes,13,10.11.1994,26.10.1998,Stadt Hannover I,NDS,NDS,Direktwahl
110,11000038,Andres,Gerd,,Dr. h. c.,08.04.1951,Wirges / Westerwald,,männlich,ohne Angaben,"Maschinenschlosser, Gewerkschaftssekretär, Parl. Staatssekretär a. D.",SPD,"Machine Fitter, Trade Union Secretary, Former Parliamentary State Secretary",Yes,14,26.10.1998,17.10.2002,Stadt Hannover I,NDS,,Direktwahl
111,11000038,Andres,Gerd,,Dr. h. c.,08.04.1951,Wirges / Westerwald,,männlich,ohne Angaben,"Maschinenschlosser, Gewerkschaftssekretär, Parl. Staatssekretär a. D.",SPD,"Machine Fitter, Trade Union Secretary, Former Parliamentary State Secretary",Yes,15,17.10.2002,18.10.2005,Stadt Hannover I,NDS,,Direktwahl
112,11000039,Angermeyer,Joachim,,,18.12.1923,Hamburg,08.05.1997,männlich,ohne Angaben,Speditionsunternehmer,FDP,Freight Forwarding Entrepreneur,No,8,14.12.1976,04.11.1980,,,NDS,Landesliste
113,11000040,Annies,Dieter,,,01.12.1942,Elbing / Ostpreußen,,männlich,evangelisch,"Klemtner, Installateurmeister",FDP,"Plumber, Master Plumber",Yes,11,03.10.1990,20.12.1990,,,***,Volkskammer
114,11000041,Ansorge,Maria,,,15.12.1880,Loechau,11.07.1955,weiblich,konfessionslos,Textilarbeiterin,SPD,Textile Worker (female),No,1,17.11.1951,07.09.1953,,,NRW,Landesliste
115,11000042,Antretter,Robert,,,05.02.1939,München,,männlich,katholisch,Landesgeschäftsführer,SPD,State Managing Director,No,9,04.11.1980,29.03.1983,,,BWG,Landesliste
116,11000042,Antretter,Robert,,,05.02.1939,München,,männlich,katholisch,Landesgeschäftsführer,SPD,State Managing Director,No,10,29.03.1983,18.02.1987,,,BWG,Landesliste
117,11000042,Antretter,Robert,,,05.02.1939,München,,männlich,katholisch,Landesgeschäftsführer,SPD,State Managing Director,No,11,18.02.1987,20.12.1990,,,BWG,Landesliste
118,11000042,Antretter,Robert,,,05.02.1939,München,,männlich,katholisch,Landesgeschäftsführer,SPD,State Managing Director,No,12,20.12.1990,10.11.1994,,,BWG,Landesliste
119,11000042,Antretter,Robert,,,05.02.1939,München,,männlich,katholisch,Landesgeschäftsführer,SPD,State Managing Director,No,13,10.11.1994,26.10.1998,Backnang - Schwäbisch Gmünd,BWG,BWG,Landesliste
120,11000043,Apel,Hans,,Dr.,25.02.1932,Hamburg,06.09.2011,männlich,evangelisch,Bundesminister a. D.,SPD,Former Federal Minister,No,5,19.10.1965,19.10.1969,,HBG,,Direktwahl
121,11000043,Apel,Hans,,Dr.,25.02.1932,Hamburg,06.09.2011,männlich,evangelisch,Bundesminister a. D.,SPD,Former Federal Minister,No,6,20.10.1969,22.09.1972,,HBG,,Direktwahl
